PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Single Family Residential,San Antonio,TX,78258,338000,4.0,3.0,2926.0,7840.0,2005.0,1,116.0,73.0,N,Y,29.6527661,-98.4914281
Single Family Residential,San Antonio,TX,78217,225000,3.0,2.0,1706.0,10454.0,1967.0,1,132.0,241.0,N,Y,29.5329614,-98.43806500000001
Single Family Residential,San Antonio,TX,78209,1485000,4.0,6.0,5925.0,44431.0,1955.0,1,251.0,241.0,N,Y,29.513653700000003,-98.45310570000001
Single Family Residential,San Antonio,TX,78227,60000,2.0,2.0,880.0,7840.0,1949.0,1,68.0,241.0,N,Y,29.417006,-98.605687
Single Family Residential,San Antonio,TX,78242,203499,4.0,3.0,1950.0,4791.0,2019.0,1,104.0,17.0,N,Y,29.3542229,-98.61057029999999
Single Family Residential,San Antonio,TX,78209,499500,4.0,3.0,2348.0,10349.0,1947.0,1,213.0,241.0,N,Y,29.495461699999996,-98.4509415
Single Family Residential,San Antonio,TX,78254,193000,3.0,2.0,1196.0,6098.0,2013.0,1,161.0,15.0,N,Y,29.526875800000003,-98.73411440000001
Single Family Residential,San Antonio,TX,78233,150000,3.0,2.0,1659.0,9147.0,1976.0,1,90.0,241.0,N,Y,29.552690000000002,-98.3936462
Single Family Residential,San Antonio,TX,78230,2300000,5.0,6.5,7632.0,46991.0,2004.0,1,301.0,241.0,N,Y,29.549675699999998,-98.5523168
Single Family Residential,San Antonio,TX,78223,127500,3.0,1.0,972.0,7405.0,1948.0,1,131.0,241.0,N,Y,29.383798,-98.4508344
Single Family Residential,San Antonio,TX,78242,155000,3.0,2.0,1168.0,5227.0,2012.0,1,133.0,25.0,N,Y,29.363656,-98.63275440000001
Single Family Residential,San Antonio,TX,78258,268000,3.0,3.0,2322.0,11325.0,1987.0,1,115.0,75.0,N,Y,29.6430859,-98.4980315
Single Family Residential,San Antonio,TX,78252,239900,5.0,3.0,2541.0,6969.0,2016.0,1,94.0,30.0,N,Y,29.3611784,-98.7342947
Single Family Residential,San Antonio,TX,78260,300000,4.0,3.0,3031.0,9583.0,2002.0,1,99.0,58.0,N,Y,29.655005,-98.5181024
Single Family Residential,San Antonio,TX,78256,675000,4.0,4.0,3975.0,50529.0,1990.0,1,170.0,20.0,N,Y,29.6226958,-98.619804
Single Family Residential,San Antonio,TX,78250,149950,3.0,3.0,1297.0,7405.0,1982.0,1,116.0,15.0,N,Y,29.5063756,-98.68139740000001
Single Family Residential,San Antonio,TX,78250,190000,4.0,3.0,1749.0,10454.0,2000.0,1,109.0,241.0,N,Y,29.5244266,-98.682429
Single Family Residential,San Antonio,TX,78242,199900,3.0,2.0,1559.0,5227.0,2015.0,1,128.0,241.0,N,Y,29.359754,-98.6279809
Single Family Residential,San Antonio,TX,78257,749900,4.0,4.0,3600.0,33541.0,1987.0,1,208.0,220.0,N,Y,29.660853499999998,-98.61230959999999
Townhouse,San Antonio,TX,78229,149000,3.0,3.0,1424.0,2265.0,2005.0,1,105.0,35.0,N,Y,29.525345,-98.565503
Single Family Residential,San Antonio,TX,78217,325000,3.0,2.0,2266.0,30491.0,1950.0,1,143.0,241.0,N,Y,29.520016,-98.453283
Single Family Residential,San Antonio,TX,78256,624900,5.0,5.0,4103.0,20037.0,2009.0,1,152.0,75.0,N,Y,29.643512199999996,-98.6385109
Single Family Residential,San Antonio,TX,78249,296000,4.0,3.0,2780.0,7405.0,1995.0,1,106.0,64.0,N,Y,29.5475055,-98.6581033
Condo/Co-op,San Antonio,TX,78212,3250000,3.0,4.0,5571.0,7576.5,1964.0,1,583.0,3272.0,N,Y,29.464889399999997,-98.4781588
Single Family Residential,San Antonio,TX,78253,240000,4.0,3.0,2513.0,5227.0,2012.0,1,96.0,41.0,N,Y,29.424433500000003,-98.76904959999999
Single Family Residential,Terrell Hills,TX,78209,1749000,4.0,5.0,5680.0,14810.0,2007.0,1,308.0,241.0,N,Y,29.473005999999998,-98.456209
Single Family Residential,San Antonio,TX,78210,190000,3.0,1.0,994.0,6969.0,1910.0,1,191.0,241.0,N,Y,29.409670600000002,-98.4847503
Single Family Residential,San Antonio,TX,78258,355000,5.0,4.0,3026.0,6534.0,2010.0,1,117.0,71.0,N,Y,29.6634554,-98.4673136
Single Family Residential,San Antonio,TX,78213,149750,3.0,1.0,1328.0,6969.0,1952.0,1,113.0,241.0,N,Y,29.4941523,-98.54131070000001
Single Family Residential,Helotes,TX,78023,230000,3.0,3.0,2114.0,6098.0,2002.0,1,109.0,30.0,N,Y,29.5807626,-98.6547087
Single Family Residential,San Antonio,TX,78247,245000,4.0,3.0,3388.0,6098.0,1989.0,1,72.0,241.0,N,Y,29.5884766,-98.4142889
Single Family Residential,San Antonio,TX,78218,119500,3.0,2.0,1170.0,6969.0,1955.0,1,102.0,241.0,N,Y,29.5035059,-98.4018255
Single Family Residential,San Antonio,TX,78254,220601,3.0,2.0,1512.0,4800.0,2019.0,1,146.0,17.0,N,Y,29.530602000000002,-98.730694
Single Family Residential,San Antonio,TX,78217,175000,4.0,2.0,1744.0,6969.0,1972.0,1,100.0,241.0,N,Y,29.522658500000002,-98.4161735
Single Family Residential,San Antonio,TX,78216,389000,4.0,2.0,2410.0,7043.0,1999.0,1,161.0,62.0,N,Y,29.577779999999997,-98.5040136
Single Family Residential,San Antonio,TX,78257,749900,3.0,4.0,3641.0,12196.0,2000.0,1,206.0,220.0,N,Y,29.653805600000005,-98.6205126
Single Family Residential,San Antonio,TX,78245,218800,3.0,3.0,1410.0,9583.0,2016.0,1,155.0,29.0,N,Y,29.420421,-98.719378
Single Family Residential,San Antonio,TX,78254,209000,4.0,3.0,2329.0,5662.0,1986.0,1,90.0,241.0,N,Y,29.5378518,-98.67512190000001
Condo/Co-op,San Antonio,TX,78209,197500,2.0,2.0,1567.0,7576.5,1963.0,1,126.0,261.0,N,Y,29.491841700000002,-98.45782309999998
Vacant Land,San Antonio,TX,78252,750000,3.0,2.0,1712.0,871200.0,1980.0,1,270.0,241.0,N,Y,29.332455,-98.63325999999999
Single Family Residential,San Antonio,TX,78247,220000,3.0,2.0,1781.0,7840.0,1983.0,1,124.0,241.0,N,Y,29.578382,-98.42881070000001
Single Family Residential,San Antonio,TX,78250,205000,3.0,3.0,1847.0,5662.0,1996.0,1,111.0,241.0,N,Y,29.5112591,-98.65827519999999
Condo/Co-op,San Antonio,TX,78229,87000,1.0,1.0,669.0,7576.5,2008.0,1,130.0,241.0,N,Y,29.515642,-98.5645088
Single Family Residential,San Antonio,TX,78253,226444,2.0,2.0,1509.0,4800.0,2019.0,1,150.0,125.0,N,Y,29.480428000000003,-98.744957
Single Family Residential,San Antonio,TX,78254,225718,3.0,3.0,1837.0,4800.0,2019.0,1,123.0,17.0,N,Y,29.530602000000002,-98.730694
Single Family Residential,San Antonio,TX,78254,229972,3.0,3.0,1837.0,4800.0,2019.0,1,125.0,17.0,N,Y,29.530602000000002,-98.730694
Single Family Residential,San Antonio,TX,78259,224000,3.0,3.0,2145.0,5662.0,1986.0,1,104.0,40.0,N,Y,29.6344445,-98.4403145
Single Family Residential,San Antonio,TX,78258,239900,3.0,2.0,1779.0,6098.0,1986.0,1,135.0,37.0,N,Y,29.6479142,-98.4952657
Single Family Residential,Leon Valley,TX,78238,189900,3.0,2.0,1648.0,5227.0,2007.0,1,115.0,13.0,N,Y,29.48296,-98.623983
Single Family Residential,San Antonio,TX,78250,199000,3.0,3.0,1703.0,4791.0,1996.0,1,117.0,26.0,N,Y,29.5184495,-98.6475265
Single Family Residential,Garden Ridge,TX,78266,650000,4.0,4.0,3358.0,58806.0,2014.0,1,194.0,33.0,N,Y,29.6787321,-98.33183790000001
Single Family Residential,San Antonio,TX,78202,230000,3.0,2.0,1001.0,3920.0,2016.0,1,230.0,241.0,N,Y,29.430852,-98.463525
Single Family Residential,San Antonio,TX,78251,159900,4.0,3.0,1692.0,7840.0,1981.0,1,95.0,241.0,N,Y,29.4578915,-98.65187270000001
Single Family Residential,San Antonio,TX,78220,128000,3.0,2.0,1300.0,7840.0,1959.0,1,98.0,241.0,N,Y,29.402886499999997,-98.40178259999999
Single Family Residential,San Antonio,TX,78239,169000,3.0,2.0,1589.0,7448.0,1977.0,1,106.0,241.0,N,Y,29.520880100000003,-98.3496389
Single Family Residential,San Antonio,TX,78239,182000,3.0,3.0,2786.0,5706.0,2006.0,1,65.0,22.0,N,Y,29.531240000000004,-98.371238
Single Family Residential,San Antonio,TX,78216,219500,3.0,2.0,1254.0,8276.0,1954.0,1,175.0,241.0,N,Y,29.5022522,-98.4837535
Single Family Residential,San Antonio,TX,78255,339900,4.0,3.0,2994.0,7840.0,2006.0,1,114.0,67.0,N,Y,29.673031199999997,-98.6493806
Single Family Residential,San Antonio,TX,78258,875000,4.0,5.0,4441.0,29620.0,1993.0,1,197.0,109.0,N,Y,29.6173895,-98.4989534
Single Family Residential,San Antonio,TX,78259,364999,4.0,4.0,3018.0,14374.0,1995.0,1,121.0,60.0,N,Y,29.6057321,-98.4479418
Single Family Residential,San Antonio,TX,78207,49900,2.0,1.0,520.0,4791.0,1940.0,1,96.0,241.0,N,Y,29.444773100000003,-98.5353149
Single Family Residential,San Antonio,TX,78258,690000,4.0,4.0,3923.0,15681.0,1997.0,1,176.0,109.0,N,Y,29.6223018,-98.5008402
Single Family Residential,San Antonio,TX,78220,155000,3.0,2.0,1350.0,7405.0,2003.0,1,115.0,241.0,N,Y,29.419736999999998,-98.37488499999999
Single Family Residential,San Antonio,TX,78259,318000,4.0,3.0,2701.0,9365.0,1984.0,1,118.0,33.0,N,Y,29.631465000000002,-98.4479204
Single Family Residential,San Antonio,TX,78217,185000,4.0,1.0,1335.0,7840.0,1968.0,1,139.0,241.0,N,Y,29.5287386,-98.4046949
Single Family Residential,San Antonio,TX,78247,177000,3.0,2.0,1521.0,7797.0,1983.0,1,116.0,241.0,N,Y,29.600103499999996,-98.381229
Vacant Land,San Antonio,TX,78245,40000,3.0,2.0,1712.0,7840.0,1980.0,1,270.0,10.0,N,Y,29.420887,-98.704495
Single Family Residential,San Antonio,TX,78244,187000,4.0,3.0,2527.0,9844.0,1998.0,1,74.0,18.0,N,Y,29.486655900000002,-98.3336777
Single Family Residential,San Antonio,TX,78245,119900,4.0,2.0,1142.0,4791.0,1984.0,1,105.0,241.0,N,Y,29.402848100000003,-98.6874154
Vacant Land,San Antonio,TX,78203,30000,3.0,2.0,1712.0,6098.0,1980.0,1,270.0,241.0,N,Y,29.409608799999997,-98.44843459999998
Single Family Residential,San Antonio,TX,78245,175000,4.0,2.0,1697.0,9147.0,2004.0,1,103.0,18.0,N,Y,29.4402624,-98.66906180000001
Single Family Residential,Helotes,TX,78023,324999,4.0,4.0,3191.0,7840.0,2002.0,1,102.0,25.0,N,Y,29.5731645,-98.665065
Single Family Residential,San Antonio,TX,78224,244900,4.0,3.0,2690.0,19166.0,1958.0,1,91.0,241.0,N,Y,29.3257488,-98.53326640000002
Single Family Residential,San Antonio,TX,78260,408000,4.0,4.0,3159.0,6534.0,2016.0,1,129.0,83.0,N,Y,29.66919131577,-98.500440046191
Single Family Residential,Windcrest,TX,78239,319000,4.0,4.0,3049.0,11761.0,1978.0,1,105.0,241.0,N,Y,29.517148,-98.3642551
Single Family Residential,San Antonio,TX,78238,174000,3.0,3.0,1734.0,3049.0,2002.0,1,100.0,21.0,N,Y,29.4802277,-98.6154876
Single Family Residential,San Antonio,TX,78258,328000,4.0,3.0,3057.0,7405.0,1999.0,1,107.0,38.0,N,Y,29.639374199999995,-98.5033489
Single Family Residential,San Antonio,TX,78254,309000,4.0,4.0,2905.0,6098.0,2014.0,2,106.0,52.0,N,Y,29.5171856,-98.74112240000001
Single Family Residential,San Antonio,TX,78245,240000,3.0,2.0,2000.0,10018.0,2012.0,2,120.0,37.0,N,Y,29.4235001,-98.7427804
Single Family Residential,San Antonio,TX,78221,188000,3.0,3.0,1601.0,4007.0,2014.0,2,117.0,18.0,N,Y,29.3230427,-98.49935009999999
Single Family Residential,San Antonio,TX,78254,252000,3.0,3.0,1616.0,41817.0,1978.0,2,156.0,241.0,N,Y,29.524595,-98.79458299999999
Single Family Residential,San Antonio,TX,78248,439900,4.0,4.0,3160.0,11325.0,2015.0,2,139.0,23.0,N,Y,29.579071999999996,-98.531953
Single Family Residential,San Antonio,TX,78230,339888,4.0,3.0,2273.0,11761.0,1970.0,2,150.0,241.0,N,Y,29.5407886,-98.53847900000001
Single Family Residential,San Antonio,TX,78218,185500,3.0,2.0,1408.0,8158.0,1980.0,2,132.0,241.0,N,Y,29.487092699999998,-98.407393
Single Family Residential,San Antonio,TX,78231,299900,3.0,3.0,2210.0,5662.0,1979.0,2,136.0,241.0,N,Y,29.576783600000002,-98.54221170000001
Single Family Residential,San Antonio,TX,78203,249000,4.0,2.0,1530.0,7000.0,1921.0,2,163.0,241.0,N,Y,29.4266113,-98.4641632
Single Family Residential,San Antonio,TX,78230,625000,5.0,4.0,3888.0,25700.0,1978.0,2,161.0,241.0,N,Y,29.522275,-98.53689159999999
Condo/Co-op,San Antonio,TX,78229,95000,2.0,1.0,885.0,7576.5,1972.0,2,107.0,241.0,N,Y,29.4962911,-98.5726596
Single Family Residential,San Antonio,TX,78212,214900,3.0,2.0,1384.0,7840.0,1950.0,2,155.0,241.0,N,Y,29.474448100000004,-98.5021053
Single Family Residential,San Antonio,TX,78229,733000,5.0,5.0,5012.0,29185.0,1939.0,2,146.0,33.0,N,Y,29.499826000000002,-98.564891
Multi-Family (2-4 Unit),San Antonio,TX,78207,125000,6.0,3.0,1566.0,5662.0,1940.0,2,80.0,241.0,N,Y,29.4285733,-98.5102535
Single Family Residential,San Antonio,TX,78213,141900,3.0,1.0,1668.0,7405.0,1963.0,2,85.0,241.0,N,Y,29.5072864,-98.5217054
Single Family Residential,San Antonio,TX,78251,295000,4.0,4.0,2519.0,6098.0,2007.0,2,117.0,73.0,N,Y,29.455607399999998,-98.67860340000001
Single Family Residential,San Antonio,TX,78258,519000,3.0,3.0,2558.0,6011.0,2011.0,2,203.0,63.0,N,Y,29.6235825,-98.51831690000002
Single Family Residential,San Antonio,TX,78260,650000,3.0,5.0,3980.0,37897.0,1998.0,2,163.0,131.0,N,Y,29.652047999999997,-98.50924570000001
Single Family Residential,San Antonio,TX,78209,449000,4.0,3.0,2259.0,10890.0,1954.0,2,199.0,241.0,N,Y,29.5018086,-98.44734190000001
Single Family Residential,San Antonio,TX,78253,365000,4.0,3.0,2684.0,10018.0,2014.0,2,136.0,48.0,N,Y,29.494719,-98.71927600000001
Single Family Residential,San Antonio,TX,78253,225000,4.0,3.0,2472.0,5227.0,2012.0,2,91.0,40.0,N,Y,29.431053000000002,-98.8063256
Single Family Residential,San Antonio,TX,78249,219000,3.0,3.0,1674.0,5662.0,1994.0,2,131.0,25.0,N,Y,29.5503967,-98.5964214
Single Family Residential,San Antonio,TX,78260,850000,4.0,4.0,4631.0,38768.0,2016.0,2,184.0,18.0,N,Y,29.6862605,-98.5201203
Single Family Residential,San Antonio,TX,78222,129900,4.0,2.0,2488.0,7840.0,1975.0,2,52.0,241.0,N,Y,29.391749100000006,-98.3742572
Single Family Residential,San Antonio,TX,78250,145000,3.0,2.0,1080.0,6969.0,1977.0,2,134.0,24.0,N,Y,29.495280600000005,-98.6846643
Single Family Residential,San Antonio,TX,78257,1399500,6.0,8.0,6105.0,23958.0,1985.0,2,229.0,220.0,N,Y,29.6631101,-98.61593859999999
Single Family Residential,San Antonio,TX,78202,275000,3.0,1.0,1375.0,4791.0,1910.0,2,200.0,241.0,N,Y,29.4312042,-98.4669492
Single Family Residential,San Antonio,TX,78260,499999,4.0,3.0,3426.0,13068.0,2013.0,2,146.0,75.0,N,Y,29.7290322,-98.45899849999999
Single Family Residential,San Antonio,TX,78245,199000,3.0,3.0,1909.0,5662.0,2016.0,2,104.0,25.0,N,Y,29.387866,-98.68839100000001
Single Family Residential,San Antonio,TX,78250,199900,3.0,2.0,1913.0,7405.0,1993.0,2,104.0,21.0,N,Y,29.5109026,-98.68230009999999
Single Family Residential,San Antonio,TX,78223,219000,3.0,2.0,2764.0,6098.0,2005.0,2,79.0,50.0,N,Y,29.349335600000003,-98.4106053
Single Family Residential,San Antonio,TX,78220,125000,3.0,2.0,1375.0,10018.0,1965.0,2,91.0,241.0,N,Y,29.4005849,-98.3918905
Single Family Residential,San Antonio,TX,78250,244900,4.0,3.0,3014.0,6534.0,1997.0,2,81.0,29.0,N,Y,29.513764600000002,-98.6384679
Single Family Residential,San Antonio,TX,78233,164000,3.0,2.0,1550.0,5662.0,1980.0,2,106.0,241.0,N,Y,29.562144800000002,-98.377119
Single Family Residential,San Antonio,TX,78239,159900,3.0,2.0,1558.0,7405.0,1981.0,2,103.0,241.0,N,Y,29.5037299,-98.3540898
Single Family Residential,San Antonio,TX,78233,164000,3.0,2.0,1288.0,7405.0,1974.0,2,127.0,241.0,N,Y,29.5721492,-98.36324920000001
Single Family Residential,San Antonio,TX,78254,230000,4.0,2.0,1936.0,5662.0,2016.0,2,119.0,37.0,N,Y,29.520516999999998,-98.697032
Condo/Co-op,San Antonio,TX,78217,145000,3.0,2.0,1820.0,7576.5,1973.0,2,80.0,375.0,N,Y,29.523395500000003,-98.4215708
Single Family Residential,San Antonio,TX,78254,372900,4.0,3.0,2504.0,5967.0,2019.0,2,149.0,40.0,N,Y,29.517519,-98.785174
Single Family Residential,San Antonio,TX,78254,239500,4.0,2.0,1901.0,4791.0,2019.0,2,126.0,63.0,N,Y,29.533049300000002,-98.7811645
Single Family Residential,Helotes,TX,78023,225000,3.0,2.0,1579.0,6534.0,2005.0,2,142.0,30.0,N,Y,29.5711422,-98.6623147
Single Family Residential,San Antonio,TX,78254,251000,5.0,3.0,2539.0,4791.0,2019.0,2,99.0,63.0,N,Y,29.533049300000002,-98.7811645
Single Family Residential,San Antonio,TX,78254,229000,4.0,2.0,1703.0,4791.0,2019.0,2,134.0,63.0,N,Y,29.533049300000002,-98.7811645
Single Family Residential,San Antonio,TX,78254,266300,5.0,4.0,2678.0,4791.0,2019.0,2,99.0,63.0,N,Y,29.5064248,-98.6997034
Single Family Residential,San Antonio,TX,78254,225500,3.0,2.0,1651.0,4791.0,2019.0,2,137.0,63.0,N,Y,29.533049300000002,-98.7811645
Single Family Residential,San Antonio,TX,78254,237000,4.0,2.0,1901.0,4791.0,2019.0,2,125.0,63.0,N,Y,29.533049300000002,-98.7811645
Single Family Residential,San Antonio,TX,78254,256000,5.0,4.0,2678.0,4791.0,2019.0,2,96.0,63.0,N,Y,29.533049300000002,-98.7811645
Single Family Residential,San Antonio,TX,78254,371900,4.0,3.0,2589.0,5967.0,2019.0,2,144.0,40.0,N,Y,29.517519,-98.785174
Single Family Residential,San Antonio,TX,78245,224900,4.0,2.0,1703.0,4791.0,2019.0,2,132.0,17.0,N,Y,29.417836199999996,-98.73208029999999
Single Family Residential,San Antonio,TX,78245,257500,5.0,4.0,2678.0,4791.0,2019.0,2,96.0,17.0,N,Y,29.417836199999996,-98.73208029999999
Single Family Residential,San Antonio,TX,78261,364000,4.0,4.0,3277.0,8276.0,2012.0,2,111.0,71.0,N,Y,29.6859257,-98.44754379999999
Single Family Residential,San Antonio,TX,78245,224500,3.0,2.0,1651.0,4791.0,2019.0,2,136.0,17.0,N,Y,29.417836199999996,-98.73208029999999
Single Family Residential,San Antonio,TX,78245,236500,4.0,2.0,1901.0,4791.0,2019.0,2,124.0,17.0,N,Y,29.417836199999996,-98.73208029999999
Single Family Residential,San Antonio,TX,78254,284000,5.0,4.0,2710.0,4791.0,2019.0,2,105.0,63.0,N,Y,29.533049300000002,-98.7811645
Single Family Residential,San Antonio,TX,78254,286000,5.0,4.0,2710.0,4791.0,2019.0,2,106.0,63.0,N,Y,29.517379,-98.7351595
Single Family Residential,San Antonio,TX,78247,214990,3.0,3.0,2096.0,6098.0,1999.0,2,103.0,16.0,N,Y,29.564149199999996,-98.43767940000001
Single Family Residential,San Antonio,TX,78211,79000,3.0,2.0,1080.0,6534.0,1958.0,2,73.0,241.0,N,Y,29.353730100000003,-98.56203690000001
Single Family Residential,San Antonio,TX,78218,139900,3.0,2.0,1408.0,8276.0,1967.0,2,99.0,241.0,N,Y,29.4931663,-98.3874801
Single Family Residential,San Antonio,TX,78245,235000,4.0,3.0,2153.0,4839.0,2005.0,2,109.0,37.0,N,Y,29.421811600000005,-98.6939499
Single Family Residential,San Antonio,TX,78245,189000,4.0,3.0,2259.0,10018.0,1977.0,3,84.0,241.0,N,Y,29.4246663,-98.67815209999999
Single Family Residential,San Antonio,TX,78253,400000,5.0,4.0,3115.0,12632.0,2015.0,3,128.0,40.0,N,Y,29.4574396,-98.7284385
Single Family Residential,San Antonio,TX,78261,379500,4.0,4.0,3397.0,6969.0,2007.0,3,112.0,108.0,N,Y,29.664136,-98.429291
Single Family Residential,San Antonio,TX,78237,144900,3.0,2.0,1350.0,4356.0,2010.0,3,107.0,241.0,N,Y,29.439854399999998,-98.5859885
Single Family Residential,San Antonio,TX,78253,235000,3.0,3.0,2575.0,6969.0,2002.0,3,91.0,33.0,N,Y,29.444392200000003,-98.7172978
Single Family Residential,San Antonio,TX,78220,169790,3.0,2.0,1415.0,11761.0,1959.0,3,120.0,241.0,N,Y,29.4027605,-98.40092609999999
Single Family Residential,San Antonio,TX,78222,224900,5.0,3.0,2571.0,5227.0,2019.0,3,87.0,7.0,N,Y,29.3930756,-98.36849740000001
Single Family Residential,San Antonio,TX,78216,179000,3.0,2.0,1040.0,8276.0,1958.0,3,172.0,241.0,N,Y,29.5137023,-98.4840536
Single Family Residential,San Antonio,TX,78222,179900,3.0,3.0,1416.0,5227.0,2019.0,3,127.0,7.0,N,Y,29.3930756,-98.36849740000001
Single Family Residential,San Antonio,TX,78222,178900,3.0,3.0,1417.0,4791.0,2019.0,3,126.0,7.0,N,Y,29.3930756,-98.36849740000001
Single Family Residential,San Antonio,TX,78244,96900,2.0,1.0,700.0,5227.0,1985.0,3,138.0,241.0,N,Y,29.464709000000003,-98.367786
Single Family Residential,San Antonio,TX,78261,229000,3.0,2.0,1731.0,5227.0,2008.0,3,132.0,34.0,N,Y,29.6685826,-98.41972890000001
Single Family Residential,San Antonio,TX,78220,119900,3.0,1.0,950.0,6534.0,1955.0,3,126.0,241.0,N,Y,29.412540399999997,-98.43557990000001
Single Family Residential,San Antonio,TX,78260,549900,4.0,3.0,3102.0,13068.0,2014.0,3,177.0,71.0,N,Y,29.7237732,-98.460215
Single Family Residential,San Antonio,TX,78260,390000,4.0,4.0,3508.0,11325.0,2000.0,3,111.0,101.0,N,Y,29.676533199999998,-98.4788233
Single Family Residential,San Antonio,TX,78233,110000,3.0,2.0,1076.0,8712.0,1977.0,3,102.0,241.0,N,Y,29.565067300000003,-98.37925959999998
Single Family Residential,San Antonio,TX,78247,219500,3.0,3.0,2096.0,6534.0,1999.0,3,105.0,241.0,N,Y,29.581363899999996,-98.38251340000001
Single Family Residential,San Antonio,TX,78214,38000,3.0,1.0,828.0,6969.0,1928.0,3,46.0,241.0,N,Y,29.383400899999994,-98.503692
Single Family Residential,San Antonio,TX,78245,240000,3.0,3.0,2006.0,10454.0,2014.0,3,120.0,50.0,N,Y,29.4184363,-98.76347700000001
Single Family Residential,San Antonio,TX,78248,299900,5.0,3.0,2477.0,8276.0,2003.0,3,121.0,43.0,N,Y,29.576189399999997,-98.5277109
Single Family Residential,San Antonio,TX,78245,177500,3.0,3.0,1790.0,5488.0,2007.0,3,99.0,19.0,N,Y,29.415488399999997,-98.6681593
Single Family Residential,San Antonio,TX,78240,239900,3.0,2.0,2012.0,11325.0,1979.0,3,119.0,241.0,N,Y,29.5034008,-98.6100979
Single Family Residential,San Antonio,TX,78247,168990,3.0,2.0,1430.0,7840.0,1982.0,3,118.0,241.0,N,Y,29.594725099999998,-98.3735015
Condo/Co-op,San Antonio,TX,78229,106000,2.0,2.0,1599.0,7576.5,1966.0,3,66.0,230.0,N,Y,29.504303999999998,-98.55707199999999
Single Family Residential,San Antonio,TX,78240,170000,3.0,3.0,1353.0,2613.0,1997.0,3,126.0,30.0,N,Y,29.5237023,-98.58739449999999
Single Family Residential,San Antonio,TX,78254,175500,5.0,3.0,2946.0,6969.0,2007.0,3,60.0,15.0,N,Y,29.517595299999996,-98.72417879999999
Single Family Residential,San Antonio,TX,78250,129900,3.0,1.0,999.0,4791.0,1985.0,3,130.0,241.0,N,Y,29.5023728,-98.69171429999999
Townhouse,San Antonio,TX,78258,337500,3.0,3.0,2500.0,4791.0,1994.0,3,135.0,265.0,N,Y,29.619103999999997,-98.50910390000001
Single Family Residential,San Antonio,TX,78240,179000,3.0,2.0,1360.0,7405.0,1977.0,3,132.0,241.0,N,Y,29.522900300000003,-98.62936090000001
Single Family Residential,San Antonio,TX,78222,162000,3.0,2.0,1585.0,6534.0,2014.0,3,102.0,35.0,N,Y,29.371495799999998,-98.3748072
Single Family Residential,San Antonio,TX,78254,399900,4.0,3.0,2671.0,14810.0,2017.0,3,150.0,52.0,N,Y,29.511969,-98.733464
Single Family Residential,San Antonio,TX,78252,155000,3.0,2.0,1408.0,5662.0,2006.0,3,110.0,27.0,N,Y,29.357151799999997,-98.6372651
Condo/Co-op,San Antonio,TX,78209,415000,2.0,2.0,1581.0,7576.5,2008.0,3,262.0,493.0,N,Y,29.4683397,-98.4628378
Single Family Residential,San Antonio,TX,78247,185000,3.0,2.0,1530.0,8398.0,1983.0,3,121.0,241.0,N,Y,29.5757304,-98.4365654
Single Family Residential,San Antonio,TX,78253,538900,4.0,5.0,4955.0,11325.0,2016.0,3,109.0,94.0,N,Y,29.468490000000003,-98.73975
Single Family Residential,San Antonio,TX,78244,149000,3.0,3.0,1500.0,6534.0,2006.0,3,99.0,28.0,N,Y,29.4909783,-98.3522495
Single Family Residential,San Antonio,TX,78218,139900,3.0,1.0,1192.0,6969.0,1964.0,3,117.0,241.0,N,Y,29.5011011,-98.4099628
Single Family Residential,San Antonio,TX,78258,402777,4.0,4.0,3480.0,7405.0,2002.0,3,116.0,74.0,N,Y,29.614772499999997,-98.5350897
Single Family Residential,San Antonio,TX,78208,200000,3.0,2.0,1368.0,3484.0,1920.0,3,146.0,241.0,N,Y,29.439878600000004,-98.4657062
Single Family Residential,San Antonio,TX,78253,210000,3.0,2.0,1418.0,5662.0,2012.0,3,148.0,29.0,N,Y,29.503696500000004,-98.7331681
Single Family Residential,San Antonio,TX,78254,254900,5.0,4.0,2680.0,6098.0,2016.0,3,95.0,63.0,N,Y,29.5231078,-98.769992
Single Family Residential,Alamo Heights,TX,78209,1250000,5.0,5.0,4117.0,14374.0,1942.0,3,304.0,241.0,N,Y,29.4867314,-98.4633488
Single Family Residential,San Antonio,TX,78218,137900,3.0,2.0,988.0,9147.0,1955.0,3,140.0,241.0,N,Y,29.4851168,-98.4201144
Single Family Residential,San Antonio,TX,78249,379900,4.0,3.0,3378.0,8712.0,1995.0,3,112.0,29.0,N,Y,29.567620899999998,-98.5852157
Single Family Residential,San Antonio,TX,78216,349500,4.0,3.0,2662.0,8276.0,2005.0,3,131.0,25.0,N,Y,29.577693800000002,-98.50150490000001
Vacant Land,San Antonio,TX,78219,17500,3.0,2.0,1712.0,7405.0,1980.0,3,270.0,241.0,N,Y,29.4341659,-98.3856395
Single Family Residential,San Antonio,TX,78223,130000,3.0,2.0,1049.0,5662.0,1999.0,3,124.0,241.0,N,Y,29.3127728,-98.3854677
